Date,Open,High,Low,Close,Volume
42394,51.94,52.65,51.65,51.79,34707717
42395,51.79,52.44,51.55,52.17,28900820
42396,52.01,52.2,51.02,51.22,36775194
42397,51.86,52.21,51.25,52.06,62513789
42398,54.73,55.09,54,55.09,83611686
42401,54.88,55.09,54.5,54.71,44208542
42402,54.17,54.26,52.65,53,56313753
42403,53.25,53.39,51.26,52.16,57559814
42404,52.1,52.81,51.37,52,46987123
42405,51.94,52,49.56,50.16,62008994
42408,49.55,49.57,48.19,49.41,59290497
42409,49.02,50.24,48.67,49.28,46740474
42410,49.89,50.39,49.52,49.71,38236954
42411,48.68,50.11,48.51,49.69,48878571
42412,50.25,50.68,49.75,50.5,34243324
42416,50.9,51.09,50.13,51.09,37291208
42417,51.49,52.77,51.45,52.42,40788968
42418,52.33,52.95,52.1,52.19,27176035
42419,51.97,52.28,51.53,51.82,33559073
42422,52.28,53,52.28,52.65,25008291
42423,52.34,52.37,50.98,51.18,28895274
42424,50.69,51.5,50.2,51.36,33014457
42425,51.73,52.1,50.61,52.1,26939467
42426,52.6,52.68,51.1,51.3,35975925
42429,51.35,51.65,50.66,50.88,31654036
42430,50.97,52.59,50.92,52.58,33024535
42431,52.41,52.96,52.16,52.95,29289884
42432,52.97,52.97,51.78,52.35,24427813
42433,52.4,52.45,51.71,52.03,33034150
42436,51.56,51.8,50.58,51.03,38428816
42437,50.8,52.13,50.6,51.65,33835119
42438,51.89,52.85,51.86,52.84,28251588
42439,52.93,52.94,51.16,52.05,38387804
42440,53,53.07,52.38,53.07,32275677
42443,52.71,53.59,52.63,53.17,24083616
42444,52.75,53.59,52.74,53.59,21104763
42445,53.45,54.6,53.4,54.35,31691742
42446,54.21,55,54,54.66,20539771
42447,54.92,54.97,53.45,53.49,67625518
42450,53.25,53.93,52.93,53.86,23925716
42451,53.61,54.25,53.46,54.07,23124143
42452,54.11,54.24,53.74,53.97,20129015
42453,53.84,54.33,53.73,54.21,19949972
42457,54.21,54.29,53.33,53.54,17025050
42458,53.66,54.86,53.45,54.71,23924329
42459,54.93,55.64,54.9,55.05,23008260
42460,54.95,55.59,54.86,55.23,26360495
42461,55.05,55.61,54.57,55.57,24399193
42464,55.43,55.66,55,55.43,18928810
42465,55.19,55.3,54.46,54.56,19272255
42466,54.36,55.2,54.21,55.12,21188682
42467,54.87,54.91,54.23,54.46,19225092
42468,54.67,55.28,54.32,54.42,22167223
42471,54.49,55.15,54.3,54.31,21414227
42472,54.37,54.78,53.76,54.65,24944288
42473,55.12,55.44,54.89,55.35,20817961
42474,55.22,55.58,55.07,55.36,20877108
42475,55.3,55.92,55.11,55.65,28793753
42478,55.49,56.59,55.21,56.46,23785950
42479,56.63,56.77,55.68,56.39,29596827
42480,56.29,56.5,55.49,55.59,36195714
42481,55.8,56.23,55.42,55.78,38909096
42482,51.91,52.43,50.77,51.78,126834091
42485,51.78,52.13,51.63,52.11,33226948
42486,52.26,52.35,51.09,51.44,33532636
42487,51.48,51.5,50.55,50.94,43369256
42488,50.62,50.77,49.56,49.9,43134846
42489,49.35,50.25,49.35,49.87,48411684
42492,50,50.75,49.78,50.61,33114539
42493,50.34,50.41,49.6,49.78,26460244
42494,49.84,50.06,49.46,49.87,24257556
42495,49.87,50.3,49.73,49.94,25390718
42496,49.92,50.39,49.66,50.39,24787301
42499,50.49,50.59,50,50.07,17951598
42500,50.33,51.1,50.19,51.02,22890966
42501,51.13,51.78,51,51.05,24039140
42502,51.2,51.81,50.92,51.51,24102781
42503,51.44,51.9,51.04,51.08,22592342
42506,50.8,51.96,50.75,51.83,20032017
42507,51.72,51.73,50.36,50.51,27803514
42508,50.48,51.14,50.3,50.81,24907532
42509,50.47,50.62,49.82,50.32,23842358
42510,50.48,51.22,50.4,50.62,23905769
42513,50.6,50.68,49.98,50.03,26118720
42514,50.7,51.71,50.4,51.59,34757944
42515,51.92,52.49,51.79,52.12,24204566
42516,51.93,51.98,51.36,51.89,24335223
42517,51.92,52.32,51.77,52.32,17721438
42521,52.26,53,52.08,53,37653081
42522,52.44,52.95,52.44,52.85,25324828
42523,52.64,52.74,51.84,52.48,22840779
42524,52.38,52.42,51.6,51.79,23368291
42527,51.99,52.35,51.89,52.13,18243271
42528,52.24,52.73,52.1,52.1,20866770
42529,52.02,52.44,51.87,52.04,21149438
42530,52,52,51.49,51.62,20305664
42531,51.05,52.05,51.04,51.48,25833151
42534,49.58,50.72,49.06,50.14,83217844
42535,49.9,50.1,49.57,49.83,42577106
42536,49.78,50.12,49.69,49.69,33757639
42537,49.52,50.47,49.51,50.39,31188605
42538,50.41,50.43,49.82,50.13,45710516
42541,50.64,50.83,50.03,50.07,35607946
42542,50.2,51.43,50.16,51.19,34097825
42543,51.08,51.46,50.95,50.99,28816848
42544,51.28,52.06,51.15,51.91,29028833
42545,49.81,50.94,49.52,49.83,133502985
42548,49.1,49.15,48.04,48.43,50576699
42549,48.92,49.47,48.67,49.44,38140658
42550,49.91,50.72,49.8,50.54,31304021
42551,50.72,51.3,50.5,51.17,28527781
42552,51.13,51.72,51.07,51.16,21400392
42556,50.83,51.28,50.74,51.17,24806351
42557,50.78,51.54,50.39,51.38,28167461
42558,51.42,51.61,51.07,51.38,19585194
42559,51.73,52.36,51.55,52.3,28391026
42562,52.5,52.83,52.47,52.59,22269203
42563,52.94,53.4,52.79,53.21,27317555
42564,53.56,53.86,53.18,53.51,25356841
42565,53.84,53.99,53.58,53.74,24545520
42566,53.95,54,53.21,53.7,32024385
42569,53.7,54.34,53.55,53.96,31433864
42570,53.71,53.9,52.93,53.09,53336533
42571,56.15,56.84,55.53,55.91,89893301
42572,55.98,56.23,55.76,55.8,32776653
42573,56.08,56.63,55.78,56.57,32157167
42576,56.47,56.74,56.26,56.73,25610587
42577,56.52,57.29,56.51,56.76,28078995
42578,56.61,56.8,56.11,56.19,32327477
42579,56,56.37,55.72,56.21,37550411
42580,56.26,56.76,56.05,56.68,30558718
42583,56.6,56.75,56.14,56.58,26003419
42584,56.85,56.9,56.31,56.58,35121958
42585,56.68,57.11,56.49,56.97,22075616
42586,56.8,57.52,56.67,57.39,26587749
42587,57.65,58.21,57.45,57.96,29335221
42590,58.06,58.09,57.78,58.06,19473499
42591,58.17,58.5,58.02,58.2,16920721
42592,58.16,58.32,57.82,58.02,15756913
42593,58.03,58.45,58.03,58.3,18162301
42594,58.03,58.19,57.62,57.94,21655161
42597,58.01,58.5,57.96,58.12,19283902
42598,57.61,57.62,57.27,57.44,20523493
42599,57.54,57.68,57.23,57.56,18856423
42600,57.42,57.7,57.27,57.6,14214341
42601,57.43,57.73,57.2,57.62,17271044
42604,57.6,57.75,57.26,57.67,15221922
42605,57.9,58.18,57.85,57.89,18732373
42606,57.8,58.04,57.72,57.95,18151506
42607,57.88,58.29,57.78,58.17,18552579
42608,58.28,58.7,57.69,58.03,20971202
42611,58.18,58.6,58.1,58.1,16417207
42612,57.98,58.19,57.61,57.89,16930185
42613,57.65,57.8,57.3,57.46,20860269
42614,57.01,57.82,57.01,57.59,26075363
42615,57.67,58.19,57.42,57.67,18900489
42619,57.78,57.8,57.21,57.61,16278416
42620,57.47,57.84,57.41,57.66,17493359
42621,57.63,57.79,57.18,57.43,20146083
42622,56.79,57.52,56.21,56.21,35113934
42625,56,57.21,55.61,57.05,29302962
42626,56.5,56.65,56.05,56.53,30130213
42627,56.39,56.63,56.03,56.26,24274273
42628,56.15,57.35,55.98,57.19,27062614
42629,57.63,57.63,56.75,57.25,44606965
42632,57.27,57.75,56.85,56.93,20937104
42633,57.35,57.35,56.75,56.81,17383982
42634,57.51,57.85,57.08,57.76,33707272
42635,57.92,58,57.63,57.82,19822203
42636,57.87,57.91,57.38,57.43,19955336
42639,57.08,57.14,56.83,56.9,21688720
42640,56.93,58.06,56.68,57.95,28065071
42641,57.88,58.06,57.67,58.03,20536400
42642,57.81,58.17,57.21,57.4,25463536
42643,57.57,57.77,57.34,57.6,29910788
42646,57.41,57.55,57.06,57.42,19189515
42647,57.27,57.6,56.97,57.24,20085874
42648,57.29,57.96,57.26,57.64,16726411
42649,57.74,57.86,57.28,57.74,16212611
42650,57.85,57.98,57.42,57.8,20089020
42653,57.91,58.39,57.87,58.04,18196509
42654,57.89,58.02,56.89,57.19,26497418
42655,57.11,57.27,56.4,57.11,22177464
42656,56.7,57.3,56.32,56.92,25313748
42657,57.12,57.74,57.12,57.42,27402451
42660,57.36,57.46,56.87,57.22,23830014
42661,57.53,57.95,57.41,57.66,19149538
42662,57.47,57.84,57.4,57.53,22878397
42663,57.5,57.52,56.66,57.25,49455612
42664,60.28,60.45,59.49,59.66,80032206
42667,59.94,61,59.93,61,54066978
42668,60.85,61.37,60.8,60.99,35137164
42669,60.81,61.2,60.47,60.63,29911608
42670,60.61,60.83,60.09,60.1,28479856
42671,60.01,60.52,59.58,59.87,33574684
42674,60.16,60.42,59.92,59.92,26434697
42675,59.97,60.02,59.25,59.8,24532986
42676,59.82,59.93,59.3,59.43,22147005
42677,59.53,59.64,59.11,59.21,21600427
42678,58.65,59.28,58.52,58.71,28697016
42681,59.78,60.52,59.78,60.42,31664798
42682,60.55,60.78,60.15,60.47,22935355
42683,60,60.59,59.2,60.17,49632479
42684,60.48,60.49,57.63,58.7,57822394
42685,58.23,59.12,58.01,59.02,38767843
42688,59.02,59.08,57.28,58.12,41328422
42689,58.33,59.49,58.32,58.87,35904126
42690,58.94,59.66,58.81,59.65,27332475
42691,60.41,60.95,59.97,60.64,32132728
42692,60.78,61.14,60.3,60.35,27686311
42695,60.5,60.97,60.42,60.86,19652595
42696,60.98,61.26,60.81,61.12,23206700
42697,61.01,61.1,60.25,60.4,21848913
42699,60.3,60.53,60.13,60.53,8409616
42702,60.34,61.02,60.21,60.61,20732619
42703,60.65,61.41,60.52,61.09,22366721
42704,60.86,61.18,60.22,60.26,34655435
42705,60.11,60.15,58.94,59.2,34542121
42706,59.08,59.47,58.8,59.25,25515665
42709,59.7,60.59,59.56,60.22,23552658
42710,60.43,60.46,59.8,59.95,19907035
42711,60.01,61.38,59.8,61.37,30808969
42712,61.3,61.58,60.84,61.01,21220753
42713,61.18,61.99,61.13,61.97,27349356
42716,61.82,62.3,61.72,62.17,20198081
42717,62.5,63.42,62.24,62.98,35718868
42718,63,63.45,62.53,62.68,30352654
42719,62.7,63.15,62.3,62.58,27669868
42720,62.95,62.95,62.12,62.3,42453083
42723,62.56,63.77,62.42,63.62,34338219
42724,63.69,63.8,63.03,63.54,26028379
42725,63.43,63.7,63.12,63.54,17096304
42726,63.84,64.1,63.41,63.55,22176585
42727,63.45,63.54,62.8,63.24,12403819
42731,63.21,64.07,63.21,63.28,11763173
42732,63.4,63.4,62.83,62.99,14653348
42733,62.86,63.2,62.73,62.9,10250582
42734,62.96,62.99,62.03,62.14,25579908
42738,62.79,62.84,62.13,62.58,20694101
42739,62.48,62.75,62.12,62.3,21339969
42740,62.19,62.66,62.03,62.3,24875968
42741,62.3,63.15,62.04,62.84,19922919
42744,62.76,63.08,62.54,62.64,20382730
42745,62.73,63.07,62.28,62.62,18593004
42746,62.61,63.23,62.43,63.19,21517335
42747,63.06,63.4,61.95,62.61,20968223
42748,62.62,62.87,62.35,62.7,19422310
42752,62.68,62.7,62.03,62.53,20663983
42753,62.67,62.7,62.12,62.5,19670102
42754,62.24,62.98,62.2,62.3,18451655
42755,62.67,62.82,62.37,62.74,30213462
42758,62.7,63.12,62.57,62.96,23097581
42759,63.2,63.74,62.94,63.52,24672940
42760,63.95,64.1,63.45,63.68,24654933
42761,64.12,64.54,63.55,64.27,43554645
42762,65.39,65.91,64.89,65.78,44817972
42765,65.69,65.79,64.8,65.13,31651445
42766,64.86,65.15,64.26,64.65,25270549
42767,64.36,64.62,63.47,63.58,39671528
42768,63.25,63.41,62.75,63.17,45827013
42769,63.5,63.7,63.07,63.68,30301759
42772,63.5,63.65,63.14,63.64,19796360
42773,63.74,63.78,63.23,63.43,20277226
42774,63.57,63.81,63.22,63.34,18096358
42775,63.52,64.44,63.32,64.06,22644443
42776,64.25,64.3,63.98,64,18170729
42779,64.24,64.86,64.13,64.72,22920101
42780,64.41,64.72,64.02,64.57,23108426
42781,64.5,64.57,64.16,64.53,17005157
42782,64.74,65.24,64.44,64.52,20546345
42783,64.47,64.69,64.3,64.62,21248818
42787,64.61,64.95,64.45,64.49,20655869
42788,64.33,64.39,64.05,64.36,19292651
42789,64.42,64.73,64.19,64.62,20273128
42790,64.53,64.8,64.14,64.62,21796800
42793,64.54,64.54,64.05,64.23,15871507
42794,64.08,64.2,63.76,63.98,23239825
42795,64.13,64.99,64.02,64.94,26937459
42796,64.69,64.75,63.88,64.01,24539597
42797,63.99,64.28,63.62,64.25,18139405
42800,63.97,64.56,63.81,64.27,18750255
42801,64.19,64.78,64.19,64.4,18520987
42802,64.26,65.08,64.25,64.99,21510907
42803,65.19,65.2,64.48,64.73,19846832
42804,65.11,65.26,64.75,64.93,19538245
42807,65.14,65.19,64.57,64.71,20100035
42808,64.53,64.55,64.15,64.41,14280202
42809,64.55,64.92,64.25,64.75,24833810
42810,64.75,64.76,64.3,64.64,20674296
42811,64.91,65.24,64.68,64.87,49219686
42814,64.91,65.18,64.72,64.93,14598083
42815,65.19,65.5,64.13,64.21,26640480
42816,64.12,65.14,64.12,65.03,20680015
42817,64.94,65.24,64.77,64.87,19269203
42818,65.12,65.45,64.76,64.98,22617105
42821,64.63,65.22,64.35,65.1,18614662
42822,64.96,65.47,64.65,65.29,20080358
42823,65.12,65.5,64.95,65.47,13618424
42824,65.42,65.98,65.36,65.71,15122823
42825,65.65,66.19,65.45,65.86,21040331
42828,65.81,65.94,65.19,65.55,20400871
42829,65.39,65.81,65.28,65.73,12997449
42830,66.3,66.35,65.44,65.56,21448594
42831,65.6,66.06,65.48,65.73,18103453
42832,65.85,65.96,65.44,65.68,14108533
42835,65.61,65.82,65.36,65.53,17952742
42836,65.6,65.61,64.85,65.48,18791533
42837,65.42,65.51,65.11,65.23,17108513
42838,65.29,65.86,64.95,64.95,17896483
42842,65.04,65.49,65.01,65.48,16689265
42843,65.33,65.71,65.16,65.39,15155611
42844,65.65,65.75,64.89,65.04,26992771
42845,65.46,65.75,65.14,65.5,22299477
42846,65.67,66.7,65.45,66.4,32522645
42849,67.48,67.66,67.1,67.53,29769976
42850,67.9,68.04,67.6,67.92,30242730
42851,68.08,68.31,67.62,67.83,26190770
42852,68.15,68.38,67.58,68.27,34970953
42853,68.91,69.14,67.69,68.46,39548818
42856,68.68,69.55,68.5,69.41,31954362
42857,69.71,69.71,69.13,69.3,23906119
42858,69.38,69.38,68.71,69.08,28927973
42859,69.03,69.08,68.64,68.81,21749409
42860,68.9,69.03,68.49,69,19128782
42863,68.97,69.05,68.42,68.94,18566087
42864,68.86,69.28,68.68,69.04,22858414
42865,68.99,69.56,68.92,69.31,17977830
42866,68.36,68.73,68.12,68.46,28789413
42867,68.61,68.61,68.04,68.38,18714123
42870,68.14,68.48,67.57,68.43,31530301
42871,68.23,69.44,68.16,69.41,34956038
42872,68.89,69.1,67.43,67.48,30548781
42873,67.4,68.13,67.14,67.71,25201274
42874,67.5,68.1,67.43,67.69,26961119
42877,67.89,68.5,67.5,68.45,16237550
42878,68.72,68.75,68.38,68.68,15425824
42879,68.87,68.88,68.45,68.77,14666865
42880,68.97,69.88,68.91,69.62,21854095
42881,69.8,70.22,69.52,69.96,19827923
42885,69.79,70.41,69.77,70.41,17072838
42886,70.53,70.74,69.81,69.84,30436364
42887,70.24,70.61,69.45,70.1,21603601
42888,70.44,71.86,70.24,71.76,34770261
42891,71.97,72.89,71.81,72.28,33316760
42892,72.3,72.62,72.27,72.52,31511065
42893,72.64,72.77,71.95,72.39,22301765
42894,72.51,72.52,71.5,71.95,24588270
42895,72.04,72.08,68.59,70.32,49187396
42898,69.25,69.94,68.13,69.78,47761743
42899,70.02,70.82,69.96,70.65,25258614
42900,70.91,71.1,69.43,70.27,25510685
42901,69.27,70.21,68.8,69.9,26068709
42902,69.73,70.03,69.22,70,48345085
42905,70.5,70.94,70.35,70.87,23798268
42906,70.82,70.87,69.87,69.91,21512231
42907,70.21,70.62,69.94,70.27,19891051
42908,70.54,70.59,69.71,70.26,22965738
42909,70.09,71.25,69.92,71.21,27617291
42912,71.4,71.71,70.44,70.53,19606974
42913,70.11,70.18,69.18,69.21,25215128
42914,69.21,69.84,68.79,69.8,25806200
42915,69.38,69.49,68.09,68.49,28918715
42916,68.78,69.38,68.74,68.93,24161068
42919,69.33,69.6,68.02,68.17,16165538
42921,68.26,69.44,68.22,69.08,21176272
42922,68.27,68.78,68.12,68.57,21117572
42923,68.7,69.84,68.7,69.46,16878317
42926,69.46,70.25,69.2,69.98,15014503
42927,70,70.68,69.75,69.99,17460022
42928,70.69,71.28,70.55,71.15,17750925
42929,71.5,72.04,71.31,71.77,20269816
42930,72.24,73.27,71.96,72.78,25868086
42933,72.8,73.45,72.72,73.35,21803907
42934,73.09,73.39,72.66,73.3,26435296
42935,73.5,74.04,73.45,73.86,22416222
42936,74.18,74.3,73.28,74.22,42361025
42937,73.45,74.29,73.17,73.79,46717082
42940,73.53,73.75,73.13,73.6,21394826
42941,73.8,74.31,73.5,74.19,22018681
42942,74.34,74.38,73.81,74.05,16252233
42943,73.76,74.42,72.32,73.16,36844220
42944,72.67,73.31,72.54,73.04,18306680
42947,73.3,73.44,72.41,72.7,23600054
42948,73.1,73.42,72.49,72.58,20823890
42949,72.55,72.56,71.44,72.26,26499158
42950,72.19,72.44,71.85,72.15,18214424
42951,72.4,73.04,72.24,72.68,22578952
42954,72.8,72.9,72.26,72.4,18705681
42955,72.09,73.13,71.75,72.79,22044587
42956,72.25,72.51,72.05,72.47,22213410
42957,71.9,72.19,71.35,71.41,24734461
42958,71.61,72.7,71.28,72.5,21443675
42961,73.06,73.72,72.95,73.59,20096592
42962,73.59,73.59,73.04,73.22,19181402
42963,73.34,74.1,73.17,73.65,18150402
42964,73.58,73.87,72.4,72.4,22977519
42965,72.27,72.84,71.93,72.49,18761491
42968,72.47,72.48,71.7,72.15,17734767
42969,72.35,73.24,72.35,73.16,14343674
42970,72.96,73.15,72.53,72.72,13766507
42971,72.74,72.86,72.07,72.69,17098282
42972,72.86,73.35,72.48,72.82,12794301
42975,73.06,73.09,72.55,72.83,14569715
42976,72.25,73.16,72.05,73.05,11478382
42977,73.01,74.21,72.83,74.01,16897801
